,results
979,"Sentence[129]: ""Travel to Gurnee location requiredfor Tuesday shift ResponsibilitiesIn this role  you will Independently provide safe  effective  and compassionate nursing care for a patient population on a specific unitUtilize the nursing process in planning  implementing  and evaluating the patient plan of careGuide and direct assigned unlicensed assistive personnel in delivering interdisciplinary patient careCommunicate and collaborate with nurses  physicians  and other members of the healthcare team to ensure optimal patient outcomes and continuity of careQualificationsOur ideal candidate will have Current professional nursing licensure in the state of IL requiredGraduate of a NLN accredited school of nursing required  BSN strongly preferredCPR certification requiredLabor and Delivery experience with exposure to NSTrequiredPrimary Location USA IL EvanstonWork Locations Evanston Hospital   EVAN 100060201Job NorthShore JobsOrganization Evanston HospitalPart timeJob Posting Sep 27  2017  11 06 14 PM"" → [""planning""/In-SK, ""evaluating""/In-SK, ""healthcare""/In-SK]"
980,"Sentence[39]: ""Job Description   Staff Nurse  Fetal Diagnostics  30hrs  Days  Evanston  61653 Job DescriptionStaff Nurse  Fetal Diagnostics  30hrs  Days  Evanston  61653 DescriptionNorthShore University HealthSystem  NorthShore is a comprehensive  fully integrated  healthcare delivery system that serves th reater North Shore andIllinois communities"" → [""healthcare""/In-SK]"
981,"Sentence[112]: ""NorthShore is committed to earning the loyalty of those who come to us for care and those who play a role in providing that care Service Values which include  Exceptional Customer Service  Supportive Workplace Interactions and Professional Work Ethic  define the behaviors that each employee demonstrates with co workers  patients and families  physicians  and visitors To learn about the many benefitsof working at NorthShore  which include a supportive work environment that promotes professional and career development  recognition of our staff for providing excellent service and a competitive benefits package  please visit www northshore org/careers NorthShore University HealthSystem is committed to working with and providing reasonable accommodation to individuals with disabilities"" → [""Service""/In-SK, ""Customer""/In-SK, ""Service""/In-SK, ""Work""/In-SK, ""Ethic""/In-SK, ""work""/In-SK, ""service""/In-SK]"
982,"Sentence[87]: ""Service Values which include  Exceptional Customer Service  Supportive Workplace Interactions and Professional Work Ethic  define the behaviors that each employee demonstrates with co workers  patients and families  physicians  and visitors To learn about the many benefitsof working at NorthShore  which include a supportive work environment that promotes professional and career development  recognition of our staff for providing excellent service and a competitive benefits package  please visit www northshore org/careers NorthShore University HealthSystem is committed to working with and providing reasonable accommodation to individuals with disabilities"" → [""Service""/In-SK, ""Customer""/In-SK, ""Service""/In-SK, ""Work""/In-SK, ""Ethic""/In-SK, ""work""/In-SK, ""service""/In-SK]"
983,"Sentence[90]: ""Hours will be scheduled Monday thru Friday from 10 00AM   2 00PM ResponsibilitiesIn this role  you will Answer phonesSchedule appointmentsCollect co paymentsComplete patient registrationProvide other administrative support to the physician practiceQualificationsOur ideal candidate will have High school diploma or equivalent requiredOne year of related experience is required  previous administrative experience working in a medical office is preferredMinimum typing speed of 20 words per minute required CBPrimary Location USA IL EvanstonWork Locations Evanston Hospital   EVAN 100060201Job Administrative/Customer SvcOrganization Medical GroupPart timeJob Posting Sep 28  2017  4 49 43 PM"" → [""typing""/In-SK]"
984,"Sentence[31]: ""Job Description   Patient Support Associate  61660 Job DescriptionPatient Support Associate  61660 DescriptionNorthShore University HealthSystem  NorthShore is a comprehensive  fully integrated  healthcare delivery system that serves th reater North Shore andIllinois communities"" → [""healthcare""/In-SK]"
985,"Sentence[137]: ""Travel between Evanston and Skokie Hospitals required based on department needs ResponsibilitiesIn this role  you will Independently provide safe  effective  and compassionate nursing care for a patient population on a specific unitUtilize the nursing process in planning  implementing  and evaluating the patient plan of careGuide and direct assigned unlicensed assistive personnel in delivering interdisciplinary patient careCommunicate and collaborate with nurses  physicians  and other members of the healthcare team to ensure optimal patient outcomes and continuity of careQualificationsOur ideal candidate will have Current professional nursing licensure in the state of IL requiredGraduate of a NLN accredited school of nursing required  BSN strongly preferredCPR certification requiredMinimum one year of Med/Surg nursing experience requiredTelemetry experience requiredPrimary Location USA IL EvanstonWork Locations Evanston Hospital   EVAN 100060201Job NorthShore JobsOrganization Evanston HospitalPer DiemJob Posting Sep 27  2017  3 54 10 PM"" → [""planning""/In-SK, ""evaluating""/In-SK, ""healthcare""/In-SK]"
986,"Sentence[51]: ""Job Description   Staff Nurse  Med/Surg  Resource Team  PM/NOC  EH/SK  61648 Job DescriptionStaff Nurse  Med/Surg  Resource Team  PM/NOC  EH/SK  61648 DescriptionNorthShore University HealthSystem  NorthShore is a comprehensive  fully integrated  healthcare delivery system that serves th reater North Shore andIllinois communities"" → [""healthcare""/In-SK]"
987,"Sentence[148]: ""Hours will be scheduled Monday   Friday day shift  including rotating shifts  rotating weekends  and floating locations  Evanston  Skokie  Glenbrook  Highland Park as needed  Includes on call responsibilities ResponsibilitiesIn this role  you will Independently provide safe  effective  and compassionate nursing care for a patient population on a specific unitUtilize the nursing process in planning  implementing  and evaluating the patient plan of careGuide and direct assigned unlicensed assistive personnel in delivering interdisciplinary patient careCommunicate and collaborate with nurses  physicians  and other members of the healthcare team to ensure optimal patient outcomes and continuity of careQualificationsOur ideal candidate will have Current professional nursing licensure in the state of IL requiredGraduate of a NLN accredited school of nursing required  BSN strongly preferredCPR certification requiredPrior nursing or CNA experience preferredPrimary Location USA IL SkokieWork Locations Skokie Hospital   SKOK 125060076Job Nursing Staff PositionsOrganization Skokie HospitalFull timeJob Posting Sep 27  2017  5 50 00 PM"" → [""planning""/In-SK, ""evaluating""/In-SK, ""healthcare""/In-SK]"
988,"Sentence[37]: ""Job Description   Staff Nurse  OR  40 Hours  Skokie  61507 Job DescriptionStaff Nurse  OR  40 Hours  Skokie  61507 DescriptionNorthShore University HealthSystem  NorthShore is a comprehensive  fully integrated  healthcare delivery system that serves th reater North Shore andIllinois communities"" → [""healthcare""/In-SK]"
989,"Sentence[37]: ""Job Description   Patient Care Tech ICU 12hrs EH  61646 Job DescriptionPatient Care Tech ICU 12hrs EH  61646 DescriptionNorthShore University HealthSystem  NorthShore is a comprehensive  fully integrated  healthcare delivery system that serves th reater North Shore andIllinois communities"" → [""healthcare""/In-SK]"
990,"Sentence[43]: ""Job Description   Patient Care Technician 5SS 40hrs /wk Days Evanston  61666 Job DescriptionPatient Care Technician 5SS 40hrs /wk Days Evanston  61666 DescriptionNorthShore University HealthSystem  NorthShore is a comprehensive  fully integrated  healthcare delivery system that serves th reater North Shore andIllinois communities"" → [""healthcare""/In-SK]"
